id,tau_days,p_days,tau_length,p_length,tau,p,lon,lat,p_days_adj,p_length_adj,p_number_adj,days_sig,length_sig,num_sig
03379,0.3956371545791626,0.0016391277313232422,0.2448939085006714,0.06492757797241211,0.3301910161972046,0.020483732223510742,11.5429,48.1632,0.005564445181737972,0.11591097812524578,0.09918069070385348,1,0,0
03402,0.4692290723323822,2.3651123046875e-4,0.42865824699401855,0.0011545419692993164,0.3829578757286072,0.007628798484802246,9.4837,48.3851,0.002169378872575431,0.012796173493067425,0.08110724045680119,1,1,0
03426,0.29043856263160706,0.03086066246032715,0.26104113459587097,0.06944847106933594,0.08248624950647354,0.6055364608764648,14.7008,51.566,0.045605201191372347,0.12074047911400888,0.6883448657826481,1,0,0
03442,0.4625933766365051,3.439188003540039e-4,0.42891350388526917,0.0014367103576660156,0.34494152665138245,0.017491936683654785,8.7506,50.3574,0.0024374723434448242,0.014154257597746672,0.09918069070385348,1,1,0
03490,0.39938727021217346,0.0014969110488891602,0.23068244755268097,0.08021581172943115,0.10147427022457123,0.4792940616607666,7.0853,50.5346,0.00553686088985867,0.1293176116365375,0.5742892810890267,1,0,0
03513,0.25985684990882874,0.044098854064941406,0.1904420256614685,0.15779435634613037,0.0847911611199379,0.5746281147003174,11.1345,50.5003,0.05968672940225312,0.21198635751550848,0.664569906566454,0,0,0
03527,0.39546194672584534,0.001964569091796875,0.31219610571861267,0.018755316734313965,0.2364712804555893,0.10555768013000488,9.405,50.8923,0.0061479456284466915,0.054227328818777336,0.22383252779642743,1,0,0
03545,0.41635778546333313,0.0016525983810424805,0.31090161204338074,0.023447394371032715,0.3567168414592743,0.016890764236450195,7.2297,49.344,0.005564445181737972,0.06236884145453425,0.09918069070385348,1,0,0
03612,0.2816142141819,0.026089787483215332,0.13596835732460022,0.3102407455444336,0.040984056890010834,0.7918574810028076,9.2229,52.6711,0.03920838118946485,0.36515061201247495,0.8597309793744767,1,0,0
03621,0.3866816461086273,0.002196192741394043,0.30708378553390503,0.020331501960754395,0.34137335419654846,0.01643979549407959,10.5067,48.8253,0.006563901901245117,0.05719731003046036,0.09918069070385348,1,0,0
03631,0.009585565887391567,0.9518876075744629,0.05616428330540657,0.6884406805038452,0.02246950753033161,0.8925132751464844,7.1519,53.7123,0.9664202428046074,0.7209654370630819,0.9420973459879558,0,0,0
03667,0.38364848494529724,0.0023415088653564453,0.28788143396377563,0.028319478034973145,0.16606545448303223,0.2436140775680542,11.2539,49.4258,0.006625971895583133,0.06785702705383301,0.36405249793877764,1,0,0
03668,0.3888631761074066,0.0019470453262329102,0.2712915539741516,0.041769981384277344,0.23924684524536133,0.09127867221832275,11.0549,49.503,0.0061479456284466915,0.08748673266313206,0.20918219517438838,1,0,0
03679,0.39020660519599915,0.0033925771713256836,0.19992688298225403,0.15519678592681885,0.2294074147939682,0.1274632215499878,12.1665,47.6187,0.008433883435258242,0.2106242094721113,0.2455958998795097,1,0,0
03730,0.3836226463317871,0.0021663904190063477,0.38733145594596863,0.0032432079315185547,0.3358384370803833,0.017066240310668945,10.2759,47.3984,0.006548407402905551,0.022120341276511166,0.09918069070385348,1,1,0
03739,0.44382864236831665,4.2700767517089844e-4,0.36543986201286316,0.005390644073486328,0.3402089476585388,0.01782691478729248,12.4365,49.4521,0.002770342477938024,0.028962345123291017,0.09918069070385348,1,1,0
03761,0.5397665500640869,1.6570091247558594e-5,0.3357498049736023,0.010666370391845703,0.20744448900222778,0.15070343017578125,9.5176,49.207,6.296634674072266e-4,0.04173911827197973,0.26724741617838543,1,1,0
03811,0.3109530508518219,0.013520479202270508,0.3200291693210602,0.015939831733703613,0.24489858746528625,0.08959782123565674,13.0928,51.296,0.023401737213134766,0.048735577484657025,0.20906158288319907,1,1,0
03836,0.4042406380176544,0.002949237823486328,0.2934137284755707,0.03922533988952637,0.17675624787807465,0.2558722496032715,10.2211,50.4538,0.0076911496181114045,0.08280905087788899,0.376033250798178,1,0,0
03875,0.20726290345191956,0.10376524925231934,0.21964068710803986,0.09650015830993652,0.3086015284061432,0.030246973037719727,11.6897,49.151,0.12267358356051976,0.1492386169211809,0.10669094324111938,0,0,0
03904,0.2808169424533844,0.07650744915008545,0.25405871868133545,0.11944162845611572,0.25431427359580994,0.14677298069000244,6.3789,49.5354,0.09553145916662484,0.1763879357121926,0.2655892031533377,0,0,0
03927,0.504132091999054,7.998943328857422e-5,0.474111944437027,3.7109851837158203e-4,0.34671536087989807,0.01655125617980957,9.2869,47.9345,0.0012683868408203125,0.008586003230168268,0.09918069070385348,1,1,0
03939,0.38047587871551514,0.021776318550109863,0.26757001876831055,0.12002336978912354,0.13533298671245575,0.48331260681152344,7.5879,49.1912,0.0338742733001709,0.1763879357121926,0.5753268226981163,1,0,0
03946,0.4725070595741272,1.7559528350830078e-4,0.41770875453948975,0.0017184019088745117,0.4538939893245697,0.0017535686492919922,12.13,50.4818,0.001834282508263221,0.014429822112574722,0.05050645934210884,1,1,0
03987,0.29580947756767273,0.01812148094177246,0.15355010330677032,0.2547593116760254,0.13754944503307343,0.34285616874694824,13.0622,52.3812,0.02957247810129739,0.3181501263184167,0.4534291442077939,1,0,0
04024,0.2475937157869339,0.05099892616271973,0.2108522653579712,0.1139516830444336,0.3053673803806305,0.03384578227996826,13.4771,54.3643,0.06715700177863093,0.17028734657201874,0.1153694164903858,0,0,0
04032,0.37375181913375854,0.008115053176879883,0.28588998317718506,0.05354118347167969,0.3207869529724121,0.0448070764541626,11.132,51.7953,0.016108986157089916,0.1017282485961914,0.13369325796763104,1,0,0
04036,0.34165656566619873,0.01181173324584961,0.2582847476005554,0.07480847835540771,0.2471563220024109,0.1081932783126831,11.5412,51.3895,0.021520007146547917,0.1232388534663636,0.22483915649354458,1,0,0
